age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income>50K
41,0,143003,6,11,0,2,2,1,1,7298,0,60,7,1
25,0,186370,3,9,0,6,2,0,1,0,0,40,0,0
31,0,66815,3,9,0,1,2,0,1,0,0,50,0,0
24,0,186221,2,7,1,3,5,0,0,0,0,35,0,0
48,2,192945,3,9,0,4,2,0,1,7688,0,40,0,1
59,0,220783,12,6,4,5,5,0,0,0,0,40,0,0
37,1,326400,3,9,0,10,2,0,1,0,0,30,0,0
41,0,211253,10,14,0,4,0,0,0,0,0,40,0,1
38,1,331374,2,7,0,2,2,0,1,0,0,60,0,0
56,0,102106,3,9,0,6,2,0,1,0,0,40,0,0
34,0,35595,6,11,0,0,2,0,1,0,0,40,0,0
81,0,98116,0,13,4,3,3,0,1,0,0,50,0,1
36,4,101833,0,13,3,5,3,0,1,0,0,40,0,0
26,0,112847,6,11,2,0,1,0,1,0,0,40,0,0
29,0,134813,3,9,0,1,2,0,1,0,0,50,0,0
41,0,116391,0,13,0,4,2,0,1,0,0,40,0,1
59,0,750972,3,9,0,7,2,0,1,0,0,40,0,0
31,0,80511,5,12,1,0,3,0,0,0,0,44,0,0
24,0,314440,3,9,2,7,3,0,0,0,0,40,0,0
31,0,164243,1,10,0,1,2,0,1,0,1579,40,0,0
20,0,325033,9,8,2,2,1,4,1,0,0,35,0,1
32,0,164197,0,13,0,4,2,0,1,0,0,60,0,1
25,3,207342,1,10,2,4,3,4,1,0,0,40,0,0
43,1,245056,15,1,0,10,2,4,1,0,0,40,28,0
45,0,196584,6,11,2,5,3,0,0,0,1564,40,0,1
50,3,251585,0,13,1,4,3,0,1,0,0,55,0,1
40,0,59916,3,9,0,1,2,0,1,0,0,40,0,0
60,1,95445,1,10,0,10,2,0,1,3137,0,46,0,0
31,1,325355,0,13,0,4,0,0,0,0,1902,40,0,1
19,0,69182,1,10,2,2,1,0,0,0,0,27,0,0
36,0,229180,1,10,1,1,5,0,0,0,0,40,12,0
27,1,259873,3,9,0,2,2,4,1,0,0,60,0,1
26,0,366889,3,9,2,10,3,0,1,0,0,40,0,0
38,0,207568,0,13,0,4,2,0,1,5178,0,40,0,1
49,0,50567,1,10,1,8,3,0,0,0,0,32,0,0
43,0,196344,14,3,0,2,2,0,1,0,0,40,20,0
19,0,196857,2,7,2,8,1,0,0,594,0,15,0,0
31,0,209101,0,13,0,4,2,0,1,0,0,50,0,1
46,4,199281,0,13,3,5,5,0,1,0,0,40,0,0
17,0,165361,12,6,2,5,1,0,1,0,0,40,0,0
60,0,198727,3,9,0,5,2,0,1,0,0,30,0,0
36,5,180220,3,9,0,4,2,0,1,0,0,50,0,0
47,0,78022,5,12,0,3,2,0,1,0,0,50,0,0
81,5,132204,11,2,4,2,3,0,0,0,0,20,0,0
32,0,56150,3,9,0,3,2,0,1,0,0,40,0,0
44,0,201599,2,7,2,7,5,4,0,0,0,40,0,0
36,5,116554,0,13,2,8,3,0,0,0,0,40,0,0
30,0,275232,5,12,2,5,5,4,0,0,0,36,0,0
85,0,188328,10,14,4,5,3,0,0,0,0,5,0,0
30,5,136997,3,9,1,4,5,0,0,0,0,40,0,0
18,0,251923,2,7,2,3,1,0,0,0,0,15,0,0
27,0,236481,4,15,2,5,3,1,1,0,0,10,7,0
38,0,82622,1,10,1,1,5,0,1,0,0,40,0,0
21,0,219137,12,6,2,2,1,4,1,0,0,25,0,0
18,0,209792,1,10,2,2,1,0,0,0,0,40,0,0
33,1,24504,3,9,3,1,4,0,1,0,0,50,0,0
28,0,354095,1,10,2,3,3,0,0,0,0,40,0,0
19,0,190817,1,10,2,3,1,0,0,0,0,40,0,0
38,4,227154,0,13,0,1,2,1,1,0,0,40,15,0
27,0,54897,3,9,0,6,2,0,1,0,0,40,0,0
42,1,373403,3,9,0,9,2,0,1,0,0,50,0,0
21,0,89991,1,10,2,8,1,0,0,0,0,40,0,0
31,0,243142,3,9,1,7,5,0,0,0,0,40,0,0
57,0,69884,3,9,0,3,2,0,1,0,0,40,0,1
34,0,189809,1,10,0,4,2,4,1,0,0,52,18,0
39,0,58343,1,10,0,7,2,0,1,0,0,40,0,1
31,0,100734,13,16,2,5,3,0,0,0,0,28,0,0
26,0,181666,1,10,0,7,0,0,0,0,0,40,0,0
24,0,122234,1,10,2,8,3,4,0,0,0,20,0,0
38,0,237091,1,10,5,2,5,0,0,0,0,36,38,0
21,1,409230,1,10,2,8,1,0,1,0,0,30,0,0
51,0,293802,14,3,0,6,2,4,1,0,0,52,0,0
48,0,136455,1,10,1,3,3,0,0,0,0,16,0,0
30,0,77634,3,9,0,4,2,0,1,0,0,40,0,0
60,0,367695,5,12,0,8,2,0,1,0,0,40,0,1
26,5,205333,0,13,2,5,3,0,0,0,0,10,0,0
48,1,28791,3,9,0,3,0,0,0,0,0,50,0,0
42,0,413297,1,10,0,0,2,0,1,0,0,40,0,0
42,4,96524,3,9,0,4,2,0,1,0,0,60,0,1
38,0,249720,6,11,1,5,5,4,0,0,0,40,0,0
48,0,41411,1,10,1,5,3,0,0,0,0,50,0,0
21,0,109667,1,10,2,2,1,0,1,0,0,40,0,0
38,0,196123,3,9,0,1,2,0,1,0,0,50,0,0
36,0,116608,3,9,1,7,5,0,0,0,0,38,0,0
50,0,474229,3,9,1,7,1,0,1,0,0,40,0,0
34,0,197688,3,9,2,5,3,4,0,0,0,40,0,0
23,0,114939,1,10,2,2,1,0,0,0,0,30,0,0
50,4,163576,10,14,2,5,3,0,0,0,0,50,0,1
43,0,199657,3,9,3,8,5,0,0,0,0,20,0,0
22,0,180052,1,10,2,3,1,0,1,0,0,20,0,0
45,0,358701,9,8,2,2,1,0,1,0,0,10,20,0
21,0,225823,1,10,2,8,3,0,0,0,0,40,0,0
90,0,77053,3,9,4,5,3,0,0,0,4356,40,0,0
29,1,29616,3,9,2,9,1,0,1,0,0,65,0,0
41,0,197919,3,9,0,8,0,0,0,0,0,60,0,0
62,0,26966,1,10,4,8,3,0,0,0,0,40,0,0
38,4,134444,1,10,0,12,2,0,1,0,0,72,0,0
32,0,36467,5,12,0,8,2,0,1,0,0,45,0,1
55,0,206487,1,10,0,5,2,0,1,0,0,40,0,1
61,0,90051,8,4,0,7,0,0,0,3456,0,44,4,0
34,0,226883,3,9,3,1,5,0,1,0,0,49,0,0
20,0,353696,1,10,2,8,1,0,1,0,0,28,0,0
26,4,189027,3,9,0,10,2,0,1,0,0,40,0,0
42,0,31251,6,11,0,3,2,0,1,0,0,37,0,0
39,0,155603,1,10,2,2,1,4,0,0,2205,40,0,0
34,2,343789,0,13,0,4,2,0,1,7688,0,55,0,1
33,0,238381,1,10,2,1,3,4,1,8614,0,40,0,1
28,0,174327,3,9,0,7,2,0,1,0,0,50,0,0
21,0,239577,1,10,2,8,1,0,1,0,0,40,0,0
47,0,187969,2,7,1,2,3,0,0,0,0,38,0,0
55,0,170994,3,9,2,5,3,0,0,0,0,40,0,0
57,1,103948,4,15,0,5,2,0,1,0,0,30,0,1
44,0,67671,1,10,0,6,2,0,1,0,0,40,0,0
20,0,403519,3,9,2,2,3,0,1,0,1719,33,0,0
21,4,596776,1,10,2,8,1,0,1,0,0,40,31,0
33,0,118941,0,13,0,4,0,0,0,0,0,40,0,1
20,0,49179,1,10,2,5,3,0,1,0,0,35,0,0
53,0,350131,0,13,0,5,0,0,0,0,0,48,0,1
18,0,437851,1,10,2,5,1,0,1,0,0,40,0,0
17,0,270587,2,7,2,2,1,0,1,0,0,20,2,0
22,0,189277,3,9,2,7,5,4,0,0,0,40,0,0
23,5,251325,1,10,2,3,3,1,0,0,0,8,0,0
40,0,173001,1,10,0,0,1,0,0,0,1902,40,0,1
42,0,171841,4,15,0,5,2,0,1,0,0,60,0,0
33,0,171637,3,9,0,5,1,0,0,0,0,20,0,0
48,0,278530,3,9,1,1,5,0,1,0,0,40,0,0
65,0,172815,1,10,0,9,2,0,1,0,0,40,0,0
43,0,146770,3,9,5,8,5,0,0,0,0,40,0,0
33,0,158438,3,9,0,3,2,0,1,0,0,55,0,1
30,0,148524,3,9,0,10,2,0,1,0,2057,40,0,0
34,1,156890,3,9,0,4,2,0,1,0,0,50,0,0
33,0,231826,2,7,0,1,2,0,1,0,0,40,20,0
39,0,214117,1,10,1,1,5,4,1,0,0,40,0,0
32,0,343789,3,9,0,7,2,0,1,5013,0,55,0,0
27,0,147280,2,7,2,2,1,3,1,0,0,40,0,0
24,0,106085,3,9,2,2,1,4,1,0,1721,30,0,0
69,1,215926,8,4,0,2,2,0,1,0,0,35,0,0
28,0,211184,1,10,2,3,3,0,0,0,0,50,0,0
23,0,163665,3,9,2,4,3,0,0,0,0,32,0,0
37,1,50096,6,11,0,1,2,0,1,0,0,30,0,0
52,1,417227,3,9,0,10,2,0,1,0,0,70,0,0
50,0,23686,1,10,0,8,4,0,0,0,0,35,0,1
17,0,160968,2,7,2,8,1,0,1,0,0,16,0,0
36,0,187098,3,9,1,8,5,0,0,0,0,40,0,0
27,0,175387,0,13,2,4,3,0,1,0,1876,40,0,0
51,0,191659,1,10,0,4,2,0,1,0,1887,65,0,1
67,4,272587,8,4,4,2,3,0,0,1086,0,15,0,0
37,2,593246,0,13,2,2,3,0,0,0,0,50,0,1
64,1,165479,3,9,0,3,2,0,1,0,0,5,0,0
31,0,158144,1,10,2,8,3,0,0,0,0,40,0,0
18,0,140164,2,7,2,3,1,0,0,0,0,40,0,0
39,0,326342,2,7,0,2,2,4,1,2635,0,37,0,0
41,0,126622,2,7,1,6,5,0,0,0,0,40,0,0
42,0,409902,3,9,2,4,5,4,0,0,0,25,0,0
51,0,257756,3,9,0,5,0,0,0,0,0,50,0,1
37,1,216473,12,6,0,1,2,0,1,0,0,30,0,0
30,0,239648,1,10,2,7,5,1,1,0,0,40,1,0
24,0,333505,3,9,5,10,1,0,1,0,0,40,38,0
28,0,472580,1,10,2,3,1,4,1,0,0,40,0,0
41,0,207578,5,12,0,4,2,4,1,0,0,50,7,1
35,0,302149,1,10,0,1,2,1,1,0,0,40,1,1
32,0,153326,0,13,0,5,4,0,1,0,0,40,0,0
31,0,163003,5,12,2,5,4,1,0,0,0,40,15,0
22,0,204226,3,9,2,4,1,0,0,0,0,40,0,0
32,0,53373,1,10,0,1,2,0,1,0,0,36,0,0
36,0,113397,3,9,0,6,2,0,1,0,0,40,0,0
49,0,83444,3,9,1,4,3,0,1,0,0,40,0,0
25,5,129200,1,10,2,10,3,4,1,0,0,40,0,0
47,4,244813,3,9,0,4,2,0,1,0,0,40,0,0
72,0,118902,13,16,0,5,2,0,1,0,2392,6,0,1
48,0,202117,2,7,1,2,3,0,0,0,0,34,0,0
46,0,261688,3,9,1,1,3,0,1,0,0,40,0,0
21,0,51047,3,9,2,8,3,0,0,0,0,25,0,0
39,2,135500,3,9,0,4,2,0,1,0,1977,40,0,1
52,0,110563,1,10,0,4,2,0,1,0,0,40,0,1
22,0,205839,1,10,2,2,3,0,1,0,0,45,0,0
33,0,194901,3,9,2,1,3,0,1,0,0,45,0,0
65,0,193216,3,9,0,3,2,0,1,9386,0,40,0,1
50,1,42402,4,15,0,5,2,0,1,0,2415,30,0,1
22,4,200109,0,13,2,5,1,0,0,0,0,15,0,0
56,0,126677,3,9,0,7,2,0,1,3103,0,40,0,1
56,0,179127,12,6,0,1,2,0,1,0,0,35,16,0
44,1,197558,4,15,0,5,2,0,1,0,0,70,0,1
53,2,246562,14,3,0,3,2,0,1,0,0,40,20,1
19,4,292962,3,9,2,1,4,4,0,0,0,40,0,0
28,0,197288,2,7,2,5,5,4,0,0,0,30,0,0
22,0,206974,0,13,2,3,3,0,0,0,0,40,0,0
25,0,211424,0,13,2,4,1,0,1,0,0,40,0,0
60,0,251572,3,9,4,5,3,0,1,0,0,35,17,0
40,4,208751,0,13,1,5,5,0,0,0,0,40,0,0
68,0,75913,9,8,4,3,3,0,0,0,0,30,0,0
30,0,180317,6,11,1,7,3,0,1,0,0,40,0,0
30,0,218551,6,11,0,3,2,0,1,0,0,45,0,1
44,5,185832,0,13,0,8,2,0,1,0,0,46,0,1
37,0,205339,1,10,2,0,3,0,1,0,0,40,0,1
26,0,293984,12,6,0,1,1,4,1,0,0,40,0,0
32,0,132601,0,13,0,5,2,0,1,0,0,50,0,0
51,0,123703,3,9,0,7,2,0,1,4386,0,40,0,1
35,0,161496,1,10,1,3,3,0,1,0,0,50,0,0
26,0,243786,0,13,2,2,3,0,0,0,0,38,0,0
33,0,33117,5,12,0,12,2,0,1,0,0,40,0,0
44,0,57600,1,10,0,8,0,0,0,0,0,38,0,0
44,3,151933,1,10,0,8,2,0,1,0,1485,40,0,1
25,0,176162,0,13,2,6,1,0,1,0,0,40,0,0
34,0,157886,5,12,3,2,5,0,0,0,0,40,0,0
44,0,43711,0,13,2,2,3,0,1,0,0,48,0,0
23,0,149204,0,13,2,4,1,0,1,0,0,40,0,0
58,0,52090,4,15,1,0,5,0,1,0,0,40,0,1
24,0,190293,0,13,2,5,3,0,0,0,0,40,0,0
62,1,122246,10,14,1,5,5,0,0,0,0,32,0,0
43,0,245056,3,9,0,8,2,4,1,0,0,40,0,1
61,1,201273,1,10,4,7,3,0,0,0,0,40,0,0
69,0,172354,6,11,4,8,3,0,0,1848,0,50,0,0
62,0,319582,3,9,4,3,3,0,0,0,0,32,0,0
31,1,213307,12,6,0,2,0,0,0,0,0,28,20,0
65,2,410199,0,13,0,4,2,0,1,9386,0,35,0,1
44,0,320984,0,13,0,3,2,0,1,0,0,60,0,1
57,0,199934,0,13,0,4,2,0,1,0,0,40,0,1
35,0,174503,1,10,1,7,3,0,0,0,0,40,0,0
52,4,255927,1,10,4,8,3,0,0,0,0,24,0,0
40,4,183096,7,5,0,2,0,0,0,0,0,40,35,1
24,0,311311,0,13,2,7,3,0,1,0,0,65,0,0
40,2,76625,3,9,0,6,2,0,1,0,0,40,0,0
31,4,197550,3,9,1,5,5,0,1,0,0,33,0,0
51,1,194259,10,14,0,5,0,0,0,15024,0,55,0,1
30,0,165235,0,13,0,8,0,1,0,0,0,40,15,1
62,2,200577,10,14,0,3,2,0,1,0,0,45,0,1
24,0,438839,0,13,2,3,3,0,1,0,0,40,0,0
27,4,289039,1,10,2,12,5,1,0,0,0,40,0,0
36,0,49794,3,9,0,1,2,0,1,0,0,45,0,0
53,0,152883,3,9,4,8,3,4,0,0,0,40,0,0
49,0,366089,0,13,0,4,2,0,1,0,0,50,0,1
23,0,234791,1,10,2,2,5,0,0,0,0,36,0,0
54,2,103794,10,14,1,4,5,0,0,5721,0,35,0,0
30,0,116138,0,13,2,4,3,0,1,27828,0,60,0,1
43,0,119297,3,9,0,2,2,0,1,0,0,40,0,0
38,1,280169,0,13,0,3,2,0,1,7298,0,50,0,1
66,0,106791,3,9,4,5,5,0,0,0,0,40,0,0
45,0,192835,0,13,0,4,2,0,1,0,1977,55,0,1
37,1,203828,3,9,0,3,2,0,1,0,0,45,0,0
36,0,183892,1,10,0,1,2,0,1,7298,0,44,0,1
47,0,167625,10,14,1,5,5,0,0,0,0,40,0,1
19,4,268722,1,10,2,3,4,0,0,0,0,20,0,0
29,0,110134,1,10,1,7,3,0,1,0,0,40,0,0
